Unicode,Glyph Name,Character
0021,exclamation,!
0022,ditto,""""
0023,hashtag,#
0024,dollar-sign,$
0025,percent,%
0026,ampersand,&
0027,apostrophe,'
0028,bracket-round,(
0029,bracket-round-right,)
002a,asterisk,*
002b,plus,+
002c,comma,","
002d,hyphen,-
002e,period,.
002f,slash-forward,/
0030,0,0
0031,1,1
0032,2,2
0033,3,3
0034,4,4
0035,5,5
0036,6,6
0037,7,7
0038,8,8
0039,9,9
003a,colon,:
003b,semicolon,;
003c,less-than,<
003d,equals,=
003e,greater-than,>
003f,question,?
0040,at,@
0041,a,A
0042,b,B
0043,c,C
0044,d,D
0045,e,E
0046,f,F
0047,g,G
0048,h,H
0049,i,I
004a,j,J
004b,k,K
004c,l,L
004d,m,M
004e,n,N
004f,o,O
0050,p,P
0051,q,Q
0052,r,R
0053,s,S
0054,t,T
0055,u,U
0056,v,V
0057,w,W
0058,x,X
0059,y,Y
005a,z,Z
005b,bracket-square,[
005c,slash-back,\
005d,bracket-square-right,]
0060,accent-grave,`
0061,a,a
0062,b,b
0063,c,c
0064,d,d
0065,e,e
0066,f,f
0067,g,g
0068,h,h
0069,i,i
006a,j,j
006b,k,k
006c,l,l
006d,m,m
006e,n,n
006f,o,o
0070,p,p
0071,q,q
0072,r,r
0073,s,s
0074,t,t
0075,u,u
0076,v,v
0077,w,w
0078,x,x
0079,y,y
007a,z,z
007b,bracket-curly,{
007c,pipe,|
007d,bracket-curly-right,}
007e,tilde,~
00a3,sterling-sign,£
00a5,yen-sign,¥
00a9,copyright,©
00ab,angles-left,«
00ae,registered,®
00b6,paragraph,¶
00bb,angles-right,»
00d7,xmark,×
00d8,empty-set,Ø
00f7,divide,÷
2013,minus,–
2015,horizontal-rule,―
201c,quote-left,“
201d,quote-right,”
2039,angle-left,‹
203a,angle-right,›
203d,interrobang,‽
20a4,lira-sign,₤
20a8,rupee-sign,₨
20a9,won-sign,₩
20aa,shekel-sign,₪
20ac,euro-sign,€
20b4,hryvnia-sign,₴
20b8,tenge-sign,₸
20bd,ruble-sign,₽
2122,trademark,™
2139,square-info,ℹ
2190,arrow-left,←
2191,arrow-up,↑
2192,arrow-right,→
2193,arrow-down,↓
2194,left-right,↔
2195,up-down,↕
2197,square-up-right,↗
21a4,arrow-left-from-line,↤
21a5,arrow-up-from-line,↥
21a6,arrow-right-from-line,↦
21a7,arrow-down-from-line,↧
21ba,arrow-rotate-left,↺
21bb,arrow-rotate-right,↻
21c4,arrow-right-arrow-left,⇄
21e4,arrow-left-to-line,⇤
21e5,arrow-right-to-line,⇥
2205,empty-set,∅
2211,sigma,∑
2212,minus,−
221a,square-root,√
221e,infinity,∞
223f,wave-sine,∿
22c2,intersection,⋂
22c3,union,⋃
2303,angle-up,⌃
2304,angle-down,⌄
231a,watch,⌚
231b,hourglass-end,⌛
2328,keyboard,⌨
2329,chevron-left,〈
232a,chevron-right,〉
232b,delete-left,⌫
2399,print,⎙
23cf,eject,⏏
23e9,forward,⏩
23ea,backward,⏪
23ed,forward-fast,⏭
23ee,backward-fast,⏮
23f0,alarm-clock,⏰
23f1,stopwatch,⏱
23f3,hourglass,⏳
23f8,pause,⏸
23f9,stop,⏹
23fb,power-off,⏻
23fe,moon,⏾
24bd,circle-h,Ⓗ
25a0,square,■
25ac,rectangle,▬
25b2,triangle,▲
25b6,play,▶
25cf,circle,●
25d0,circle-half-stroke,◐
25fb,square,◻
25fc,square,◼
2600,sun,☀
2601,cloud,☁
2603,snowman,☃
2604,meteor,☄
260e,phone-rotary,☎
2611,square-check,☑
2615,mug-hot,☕
261d,hand-point-up,☝
2620,skull-crossbones,☠
2622,circle-radiation,☢
2623,biohazard,☣
2625,ankh,☥
262a,star-and-crescent,☪
262c,khanda,☬
262e,peace,☮
262f,yin-yang,☯
2638,dharmachakra,☸
2639,face-frown,☹
263f,mercury,☿
2640,venus,♀
2642,mars,♂
265a,chess-king,♚
265b,chess-queen,♛
265c,chess-rook,♜
265d,chess-bishop,♝
265e,chess-knight,♞
265f,chess-pawn,♟
2660,spade,♠
2663,club,♣
2665,heart,♥
2666,diamond,♦
2672,recycle,♲
267a,recycle,♺
267b,recycle,♻
267e,infinity,♾
2680,dice-one,⚀
2681,dice-two,⚁
2682,dice-three,⚂
2683,dice-four,⚃
2684,dice-five,⚄
2685,dice-six,⚅
2693,anchor,⚓
2694,swords,⚔
2696,scale-balanced,⚖
2698,flower-daffodil,⚘
2699,gear,⚙
269b,atom,⚛
